Academic_Year,School_ID,District,Area_Type,Gender,Caste_Category,Standard,Family_Income_Level,Attendance_Rate,Distance_To_School_km,Academic_Performance,Student_Interest_Level,Transport_Available,Parental_Education,Midday_Meal,Internet_Access,Working_Student,Disability_Status,Family_Size,Mother_Education,Scholarship_Status,Secondary_Level,Far_Distance,Low_Attendance,Risk_Score,Risk_Category,Alert_Flag,Dropout_Reason,Recommended_Action,Priority_Level
2023,SCH_053,Junagadh,Urban,Male,General,8,Low,69.2,14.71,High,High,No,Primary,Yes,Yes,No,No,2,Graduate,Yes,0,1,1,23,Low,NO,Academic Disengagement,Counselling Support,Low Priority
2020,SCH_120,Sabarkantha,Urban,Male,SC,2,Low,42.3,25.24,Medium,Medium,Yes,Primary,No,Yes,No,Yes,2,Primary,No,0,1,1,26,Low,NO,Academic Disengagement,Counselling Support,Low Priority
2020,SCH_164,Dahod,Urban,Female,SC,4,High,98.8,4.1,Medium,High,Yes,Primary,Yes,No,No,No,2,Primary,Yes,0,0,0,22,Low,NO,Social Factor,Community Engagement,Low Priority
2022,SCH_007,Kutch,Urban,Female,General,8,Very Low,90.4,26.42,High,Medium,Yes,Primary,Yes,Yes,No,No,3,Primary,No,0,1,0,21,Low,NO,Travel Constraint,Provide Transport,Low Priority
2021,SCH_118,Jamnagar,Tribal,Male,OBC,10,Low,68.7,7.33,Medium,Medium,No,Secondary,Yes,No,Yes,No,6,Illiterate,No,1,1,1,54,Medium,NO,Academic Disengagement,Counselling Support,Monitor
2021,SCH_031,Vadodara,Tribal,Male,OBC,6,Low,52.0,27.18,Low,Low,Yes,Secondary,No,No,No,Yes,5,Secondary,No,0,1,1,51,Medium,NO,Academic Disengagement,Counselling Support,Monitor
2025,SCH_035,Junagadh,Rural,Female,OBC,10,Low,91.3,26.73,Medium,High,No,Illiterate,Yes,No,No,No,6,Illiterate,No,1,1,0,41,Medium,NO,Travel Constraint,Provide Transport,Monitor
2020,SCH_102,Sabarkantha,Urban,Male,General,2,Low,48.8,16.37,Medium,Medium,Yes,Illiterate,Yes,No,Yes,No,3,Secondary,Yes,0,1,1,21,Low,NO,Academic Disengagement,Counselling Support,Low Priority
2024,SCH_007,Surat,Rural,Female,OBC,12,High,65.0,13.57,Low,Medium,No,Illiterate,No,No,No,No,5,Illiterate,No,1,1,1,62,Medium,NO,Academic Disengagement,Counselling Support,Monitor
2022,SCH_050,Patan,Urban,Male,OBC,8,Low,64.6,0.39,Medium,Medium,Yes,Secondary,Yes,Yes,Yes,No,8,Secondary,No,0,0,1,40,Low,NO,Academic Disengagement,Counselling Support,Low Priority
2022,SCH_075,Sabarkantha,Tribal,Female,OBC,5,Very Low,87.2,10.5,Medium,High,No,Primary,Yes,No,No,No,6,Graduate,No,0,1,0,19,Low,NO,Travel Constraint,Provide Transport,Low Priority
2022,SCH_179,Amreli,Tribal,Female,General,9,Low,56.2,3.02,High,High,Yes,Secondary,Yes,No,No,No,8,Graduate,No,1,0,1,45,Medium,NO,Academic Disengagement,Counselling Support,Monitor
2022,SCH_056,Bhavnagar,Urban,Female,OBC,1,Low,77.5,20.28,High,Medium,No,Secondary,No,No,Yes,No,4,Secondary,No,0,1,0,32,Low,NO,Travel Constraint,Provide Transport,Low Priority
2023,SCH_105,Navsari,Tribal,Female,OBC,2,High,50.1,3.82,Medium,Low,Yes,Primary,Yes,Yes,No,No,7,Secondary,No,0,0,1,28,Low,NO,Academic Disengagement,Counselling Support,Low Priority
2022,SCH_067,Morbi,Tribal,Male,General,4,Very Low,82.7,0.81,Low,Medium,No,Illiterate,No,No,No,No,8,Primary,Yes,0,0,0,12,Low,NO,Economic Pressure,Provide Scholarship,Low Priority
2019,SCH_013,Rajkot,Urban,Female,General,4,Medium,40.2,21.69,Low,Low,No,Secondary,Yes,Yes,Yes,No,2,Secondary,No,0,1,1,48,Medium,NO,Academic Disengagement,Counselling Support,Monitor
2022,SCH_093,Dahod,Rural,Male,General,6,High,61.6,3.72,Medium,Medium,Yes,Secondary,Yes,Yes,No,No,8,Illiterate,Yes,0,0,1,31,Low,NO,Academic Disengagement,Counselling Support,Low Priority
2021,SCH_064,Rajkot,Tribal,Male,OBC,1,Very Low,54.0,14.48,High,Low,Yes,Secondary,Yes,Yes,No,No,5,Graduate,No,0,1,1,51,Medium,NO,Academic Disengagement,Counselling Support,Monitor
2022,SCH_091,Dahod,Rural,Female,General,12,Medium,83.5,16.08,Medium,Medium,Yes,Graduate,No,No,No,Yes,8,Illiterate,No,1,1,0,28,Low,NO,Travel Constraint,Provide Transport,Low Priority
2025,SCH_065,Bhavnagar,Urban,Female,General,7,High,81.1,15.7,Medium,Medium,No,Secondary,Yes,No,No,No,6,Secondary,No,0,1,0,24,Low,NO,Travel Constraint,Provide Transport,Low Priority
2020,SCH_143,Kutch,Urban,Male,ST,9,High,59.9,8.21,Low,Low,Yes,Graduate,No,Yes,No,No,3,Primary,No,1,1,1,54,Medium,NO,Academic Disengagement,Counselling Support,Monitor
2020,SCH_102,Bhavnagar,Rural,Male,SC,2,High,67.4,18.87,Medium,High,Yes,Illiterate,Yes,No,Yes,No,6,Secondary,No,0,1,1,42,Medium,NO,Academic Disengagement,Counselling Support,Monitor
2022,SCH_060,Jamnagar,Rural,Female,General,5,Low,54.0,18.42,Medium,Medium,Yes,Illiterate,Yes,No,No,No,4,Secondary,Yes,0,1,1,36,Low,NO,Academic Disengagement,Counselling Support,Low Priority
2024,SCH_017,Jamnagar,Tribal,Male,General,8,Medium,46.6,18.63,Low,Medium,No,Primary,Yes,Yes,No,No,6,Illiterate,No,0,1,1,48,Medium,NO,Academic Disengagement,Counselling Support,Monitor
2024,SCH_117,Bhavnagar,Rural,Female,OBC,3,Medium,47.8,23.38,Low,Low,No,Illiterate,No,No,Yes,No,2,Primary,Yes,0,1,1,66,Medium,NO,Academic Disengagement,Counselling Support,Monitor
2019,SCH_085,Kutch,Rural,Female,OBC,9,Medium,66.6,0.44,Low,High,Yes,Illiterate,No,Yes,Yes,No,5,Graduate,No,1,0,1,54,Medium,NO,Academic Disengagement,Counselling Support,Monitor
2019,SCH_016,Bharuch,Tribal,Male,General,2,High,90.5,2.36,Medium,Medium,No,Primary,Yes,No,No,No,6,Primary,No,0,0,0,17,Low,NO,Social Factor,Community Engagement,Low Priority
2019,SCH_012,Amreli,Urban,Male,SC,2,High,82.1,3.04,Medium,Medium,No,Illiterate,Yes,No,No,No,2,Primary,No,0,0,0,12,Low,NO,Social Factor,Community Engagement,Low Priority
2019,SCH_126,Dahod,Rural,Female,OBC,3,Medium,66.8,5.75,High,Medium,No,Illiterate,Yes,No,No,No,3,Secondary,Yes,0,1,1,26,Low,NO,Academic Disengagement,Counselling Support,Low Priority
2019,SCH_031,Navsari,Urban,Female,ST,3,Very Low,93.1,9.39,Medium,Medium,Yes,Primary,Yes,No,No,Yes,4,Primary,No,0,1,0,30,Low,NO,Travel Constraint,Provide Transport,Low Priority
2023,SCH_078,Mehsana,Rural,Male,OBC,8,Medium,69.2,6.41,Medium,High,No,Graduate,Yes,Yes,No,No,3,Illiterate,Yes,0,1,1,37,Low,NO,Academic Disengagement,Counselling Support,Low Priority
2022,SCH_127,Patan,Urban,Male,OBC,2,High,83.2,10.54,Low,Medium,Yes,Secondary,No,No,No,No,4,Primary,No,0,1,0,17,Low,NO,Travel Constraint,Provide Transport,Low Priority
2025,SCH_070,Gandhinagar,Rural,Female,SC,3,Low,89.3,12.94,High,Medium,No,Secondary,Yes,No,No,Yes,8,Illiterate,Yes,0,1,0,24,Low,NO,Travel Constraint,Provide Transport,Low Priority
2023,SCH_103,Bharuch,Urban,Male,OBC,4,Medium,60.0,19.74,Low,Low,No,Graduate,No,Yes,No,No,2,Secondary,Yes,0,1,1,25,Low,NO,Academic Disengagement,Counselling Support,Low Priority
2024,SCH_120,Patan,Urban,Male,General,10,Very Low,44.8,17.67,Low,Medium,No,Secondary,No,No,No,No,3,Illiterate,Yes,1,1,1,53,Medium,NO,Academic Disengagement,Counselling Support,Monitor
2024,SCH_058,Patan,Tribal,Female,General,3,Medium,55.7,3.19,Medium,Low,Yes,Secondary,Yes,No,No,No,4,Primary,No,0,0,1,45,Medium,NO,Academic Disengagement,Counselling Support,Monitor
2020,SCH_122,Patan,Tribal,Male,ST,5,High,58.5,23.34,Medium,Low,Yes,Primary,Yes,No,No,No,2,Primary,No,0,1,1,38,Low,NO,Academic Disengagement,Counselling Support,Low Priority
2019,SCH_035,Bhavnagar,Urban,Female,OBC,4,Medium,98.4,12.61,Low,Medium,Yes,Illiterate,No,No,Yes,No,5,Illiterate,No,0,1,0,16,Low,NO,Travel Constraint,Provide Transport,Low Priority
2023,SCH_081,Sabarkantha,Rural,Female,SC,11,Low,74.3,2.6,Low,Medium,No,Graduate,Yes,Yes,No,No,4,Primary,No,1,0,0,32,Low,NO,Social Factor,Community Engagement,Low Priority
2021,SCH_176,Patan,Tribal,Male,ST,4,Low,40.9,12.86,Medium,Medium,Yes,Secondary,Yes,No,No,No,3,Primary,Yes,0,1,1,39,Low,NO,Academic Disengagement,Counselling Support,Low Priority
2020,SCH_058,Ahmedabad,Urban,Female,SC,2,Medium,87.9,11.98,Medium,Low,Yes,Illiterate,Yes,No,No,No,5,Secondary,No,0,1,0,18,Low,NO,Travel Constraint,Provide Transport,Low Priority
2023,SCH_146,Sabarkantha,Rural,Female,OBC,7,Low,55.2,2.6,Low,Medium,Yes,Graduate,No,No,Yes,No,6,Secondary,No,0,0,1,31,Low,NO,Academic Disengagement,Counselling Support,Low Priority
2022,SCH_138,Bharuch,Rural,Female,OBC,5,Low,56.0,4.49,Low,Low,No,Primary,Yes,Yes,Yes,No,2,Illiterate,No,0,0,1,42,Medium,NO,Academic Disengagement,Counselling Support,Monitor
2019,SCH_069,Bharuch,Rural,Male,OBC,9,Medium,71.0,13.61,Medium,Low,No,Secondary,Yes,Yes,No,No,7,Secondary,No,1,1,0,33,Low,NO,Travel Constraint,Provide Transport,Low Priority
2025,SCH_176,Vadodara,Rural,Female,OBC,9,Very Low,46.9,0.15,Low,Medium,Yes,Primary,Yes,No,No,Yes,7,Primary,No,1,0,1,36,Low,NO,Academic Disengagement,Counselling Support,Low Priority
2023,SCH_170,Mehsana,Rural,Male,OBC,6,Medium,84.7,26.3,Medium,Medium,No,Primary,No,Yes,No,No,6,Secondary,Yes,0,1,0,18,Low,NO,Travel Constraint,Provide Transport,Low Priority
2022,SCH_111,Navsari,Rural,Male,ST,6,Medium,67.3,27.32,High,High,Yes,Illiterate,No,No,No,No,4,Primary,Yes,0,1,1,41,Medium,NO,Academic Disengagement,Counselling Support,Monitor
2023,SCH_003,Rajkot,Rural,Female,OBC,9,Medium,75.8,27.36,Medium,High,No,Illiterate,No,No,No,Yes,6,Graduate,No,1,1,0,51,Medium,NO,Travel Constraint,Provide Transport,Monitor
2021,SCH_100,Jamnagar,Tribal,Female,OBC,1,Low,66.4,0.91,High,Medium,Yes,Graduate,Yes,Yes,Yes,No,4,Illiterate,No,0,0,1,37,Low,NO,Academic Disengagement,Counselling Support,Low Priority
2019,SCH_033,Jamnagar,Rural,Female,OBC,1,High,45.7,18.83,Medium,Medium,Yes,Primary,Yes,Yes,No,No,5,Illiterate,No,0,1,1,40,Low,NO,Academic Disengagement,Counselling Support,Low Priority
2024,SCH_097,Patan,Rural,Male,OBC,7,Medium,63.1,1.87,Low,Low,Yes,Primary,No,No,No,No,4,Primary,No,0,0,1,32,Low,NO,Academic Disengagement,Counselling Support,Low Priority
2023,SCH_058,Sabarkantha,Urban,Female,ST,10,Low,59.3,2.09,Medium,Medium,No,Secondary,No,No,No,No,5,Illiterate,No,1,0,1,52,Medium,NO,Academic Disengagement,Counselling Support,Monitor
2023,SCH_071,Ahmedabad,Rural,Female,SC,4,Medium,58.1,11.46,Medium,Medium,No,Graduate,No,No,No,No,8,Secondary,No,0,1,1,28,Low,NO,Academic Disengagement,Counselling Support,Low Priority
2023,SCH_030,Bhavnagar,Tribal,Male,SC,7,Low,66.8,2.53,Medium,High,No,Primary,Yes,Yes,No,Yes,8,Illiterate,Yes,0,0,1,35,Low,NO,Academic Disengagement,Counselling Support,Low Priority
2021,SCH_113,Jamnagar,Rural,Female,ST,1,Very Low,74.1,11.91,High,Medium,Yes,Illiterate,Yes,No,Yes,No,7,Illiterate,No,0,1,0,49,Medium,NO,Travel Constraint,Provide Transport,Monitor
2025,SCH_179,Anand,Urban,Female,OBC,1,Medium,72.0,15.89,Low,High,Yes,Illiterate,Yes,Yes,No,No,7,Illiterate,No,0,1,0,49,Medium,NO,Travel Constraint,Provide Transport,Monitor
2024,SCH_033,Mehsana,Rural,Female,General,5,High,71.3,4.29,Medium,Medium,Yes,Primary,Yes,No,No,No,7,Primary,Yes,0,0,0,19,Low,NO,Social Factor,Community Engagement,Low Priority
2020,SCH_080,Banaskantha,Rural,Female,SC,11,High,96.6,23.25,Medium,Medium,Yes,Secondary,No,No,No,No,3,Illiterate,No,1,1,0,31,Low,NO,Travel Constraint,Provide Transport,Low Priority
2024,SCH_056,Bharuch,Rural,Female,SC,8,Low,53.4,5.05,Low,Low,No,Primary,Yes,No,No,No,2,Secondary,No,0,1,1,41,Medium,NO,Academic Disengagement,Counselling Support,Monitor
2025,SCH_018,Vadodara,Rural,Male,ST,10,High,77.4,22.24,High,Medium,No,Secondary,No,No,No,No,6,Illiterate,No,1,1,0,37,Low,NO,Travel Constraint,Provide Transport,Low Priority
2025,SCH_021,Rajkot,Urban,Female,OBC,1,Low,45.6,18.49,High,Medium,No,Graduate,Yes,Yes,No,No,4,Primary,No,0,1,1,19,Low,NO,Academic Disengagement,Counselling Support,Low Priority
2024,SCH_008,Bharuch,Urban,Female,OBC,6,Very Low,81.8,4.81,Low,High,No,Primary,No,Yes,No,No,5,Illiterate,No,0,0,0,18,Low,NO,Economic Pressure,Provide Scholarship,Low Priority
2021,SCH_058,Ahmedabad,Tribal,Male,ST,1,Low,91.2,16.65,Medium,Medium,Yes,Graduate,No,Yes,No,No,7,Illiterate,Yes,0,1,0,20,Low,NO,Travel Constraint,Provide Transport,Low Priority
2020,SCH_098,Rajkot,Rural,Male,OBC,2,High,98.8,13.13,Medium,Low,Yes,Illiterate,Yes,Yes,No,No,5,Secondary,Yes,0,1,0,18,Low,NO,Travel Constraint,Provide Transport,Low Priority
2019,SCH_050,Bhavnagar,Urban,Female,SC,7,Very Low,83.3,5.88,Medium,Medium,Yes,Primary,Yes,No,Yes,No,4,Secondary,Yes,0,1,0,22,Low,NO,Travel Constraint,Provide Transport,Low Priority
2020,SCH_010,Mehsana,Tribal,Male,OBC,12,High,75.6,12.23,Medium,High,No,Secondary,Yes,Yes,No,No,6,Primary,No,1,1,0,32,Low,NO,Travel Constraint,Provide Transport,Low Priority
2021,SCH_078,Sabarkantha,Tribal,Female,SC,2,Low,56.9,3.24,Medium,Medium,No,Secondary,Yes,Yes,No,No,5,Secondary,Yes,0,0,1,27,Low,NO,Academic Disengagement,Counselling Support,Low Priority
2020,SCH_059,Vadodara,Rural,Female,OBC,12,Low,76.7,11.35,High,Medium,No,Primary,Yes,No,No,No,3,Illiterate,No,1,1,0,43,Medium,NO,Travel Constraint,Provide Transport,Monitor
2022,SCH_097,Surat,Rural,Female,OBC,3,Very Low,98.4,3.19,Medium,Low,No,Illiterate,Yes,No,No,No,3,Primary,No,0,0,0,30,Low,NO,Economic Pressure,Provide Scholarship,Low Priority
2022,SCH_161,Junagadh,Urban,Female,General,10,Medium,52.0,23.82,Medium,Medium,Yes,Secondary,Yes,No,Yes,No,4,Illiterate,No,1,1,1,61,Medium,NO,Academic Disengagement,Counselling Support,Monitor
2019,SCH_026,Bhavnagar,Tribal,Female,General,8,Low,86.3,19.31,Medium,High,No,Primary,Yes,No,Yes,Yes,6,Graduate,Yes,0,1,0,47,Medium,NO,Travel Constraint,Provide Transport,Monitor
2024,SCH_078,Ahmedabad,Rural,Female,ST,6,Very Low,46.5,21.65,Medium,Low,No,Illiterate,Yes,Yes,Yes,No,4,Illiterate,No,0,1,1,65,Medium,NO,Academic Disengagement,Counselling Support,Monitor
2019,SCH_157,Patan,Urban,Male,OBC,12,Very Low,43.0,10.76,Low,Medium,Yes,Graduate,Yes,Yes,No,No,3,Primary,No,1,1,1,48,Medium,NO,Academic Disengagement,Counselling Support,Monitor
2025,SCH_147,Navsari,Rural,Male,SC,6,Medium,60.9,22.76,Low,Medium,Yes,Illiterate,Yes,No,Yes,No,8,Secondary,No,0,1,1,52,Medium,NO,Academic Disengagement,Counselling Support,Monitor
2020,SCH_135,Banaskantha,Urban,Female,General,12,Very Low,50.7,4.83,Medium,Low,Yes,Illiterate,Yes,Yes,No,No,8,Secondary,No,1,0,1,38,Low,NO,Academic Disengagement,Counselling Support,Low Priority
2021,SCH_014,Mehsana,Rural,Female,ST,12,High,41.3,9.76,Low,Medium,No,Secondary,No,No,Yes,No,4,Secondary,No,1,1,1,65,Medium,NO,Academic Disengagement,Counselling Support,Monitor
